"Freq [MHz]","re(Zt(1_T1,1_T1)) []","mag(Zt(1_T1,1_T1)) []","im(Zt(1_T1,1_T1)) []","ang_deg_val(Zt(1_T1,1_T1)) []","re(Zt(2_T1,1_T1)) []","mag(Zt(2_T1,1_T1)) []","im(Zt(2_T1,1_T1)) []","ang_deg_val(Zt(2_T1,1_T1)) []","re(Zt(2_T1,2_T1)) []","mag(Zt(2_T1,2_T1)) []","im(Zt(2_T1,2_T1)) []","ang_deg_val(Zt(2_T1,2_T1)) []"
22.6986485188382,5.84186495886006,441.748180883354,441.709551546664,89.242274268499,0.241358029325413,21.5351931953423,21.5338406296322,89.3578378503559,3.87484646198823,834.837271313825,834.828278833204,89.7340641663911
22.9086765276777,6.05010517417039,448.644505277012,448.603709684435,89.2273258775948,0.268772492044216,22.5021126224706,22.5005074125423,89.3156244530339,4.179493047528,866.502326927724,866.49224717191,89.7236380870079
23.1206479017559,6.26713806365438,455.721928244754,455.678833021249,89.2120373025049,0.299106252677823,23.5486029187069,23.5467032697263,89.2722291508147,4.52093115934252,900.602278081436,900.590930704348,89.7123798494451
23.33458062281,6.49346388820977,462.988201856609,462.942663820422,89.1963936186238,0.332783083700627,24.6845422893173,24.6822989904162,89.2275472000419,4.9053148605189,937.432873131127,937.420038996926,89.700186403354
23.5504928389601,6.72962104628842,470.451559812697,470.403425084016,89.1803788796774,0.370309424643248,25.9214897225216,25.9188445028866,89.181455652387,5.3401340180641,977.339811654163,977.325222437682,89.6869372759925
23.7684028662488,6.97619001903873,478.120760844347,478.069863851714,89.1639760041598,0.412295000752471,27.273056405145,27.2699398332775,89.1338094652197,5.8345769371436,1020.72975466244,1020.71307906052,89.6724907325479
23.9883291901949,7.23379791597671,486.005138313747,485.951300682564,89.1471666393698,0.459479823368283,28.7553799946666,28.7517087653863,89.0844365444208,6.40001307595218,1068.08438129225,1068.06520652677,89.6566788739978
24.2102904673618,7.50312376552228,494.114657471809,494.057686775787,89.1299309960411,0.512769969359114,30.3877365650801,30.3834099552244,89.0331313595282,7.0506434822578,1119.97852292985,1119.95632961764,89.6393013129415
24.4343055269397,7.78490474693949,502.459982345534,502.3996706973,89.1122476436017,0.573285612368427,32.1933391947939,32.1882343740334,88.9796466249045,7.80438894524922,1177.10382470484,1177.07795223934,89.6201169216922
24.6603933723434,8.0799436375869,511.052554972311,510.988677423033,89.094093251608,0.642426423263574,34.2003931315084,34.1943588716095,88.9236823240168,8.68412049303399,1240.30000505259,1240.26960318502,89.5988329304015
24.8885731828239,8.38911786696752,519.904690809633,519.837003518675,89.0754422559312,0.721962023516436,36.44350910539,36.4363572102268,88.8648710271068,9.71939164010562,1310.59672070841,1310.56068068509,89.5750903262554
25.1188643150958,8.71339075237126,529.029695841014,528.957933963782,89.0562664172046,0.814159269462862,38.9656250620903,38.957118491533,88.8027579494813,10.9489203628735,1389.27048635587,1389.22734115132,89.5484440018336
25.3512863049791,9.05382578455081,538.442013539444,538.365888762534,89.036534221031,0.92196483892151,41.8206632290676,41.8104993243908,88.7367734059786,12.4242155899266,1477.92336725992,1477.87114403113,89.5183353091588
25.5858588690565,9.41160531659728,548.157414080257,548.076611703618,89.0162100392796,1.04927283628502,45.0772730368365,45.0650593137581,88.666194040368,14.2149930807906,1578.59382280957,1578.52981960565,89.4840533992912
25.822601906346,9.78805583556423,558.193245171409,558.107420590291,88.9952529197344,1.20132660522397,48.8242153045445,48.8094336628904,88.5900870920421,16.4174648294009,1693.91614484819,1693.83658380197,89.4446796110737
26.0615354999889,10.1846834566058,568.568775747185,568.477550108658,88.9736147782833,1.38533883445578,53.1782933276195,53.1602456498472,88.5072283445057,19.1673847012245,1827.35530354,1827.25477608884,89.3990055549442
26.3026799189538,10.6032259647365,579.305684733423,579.208639406908,88.9512375948953,1.61147905257009,58.2963564216348,58.2740792059506,88.4159779961017,22.6612426377735,1983.56236666558,1983.43291556182,89.3454091338663
